//OPCOS full-build Script, by Spartanjackwar

//======================================================================================================
//Script Syntax Documentation, for your ease.
//======================================================================================================
//Mode number;Modname;ClassName;Display Name;TemplateFileName;Subfolder of \@Modname\Modname_units\;
//Uniforms: 	1;Mod;Class;Display;
//Vests M52A: 	2;Mod;Class;Display;
//Vests M52D: 	3;Mod;Class;Display;
//3den Units: 	4;Mod;Class;Display;Template;Subfolder;
//No existance:	5;
//.ini change: 	6;Section;Child;NewValue;
//Script exec: 	7;Script;
//Reset folder: 8;Mod;

//Note that 5 and 7 are not currently supported as script modes.  5 also doesn't exist yet.

//Important notice!  Make sure every command ends with a semicolon!
//Failure to end commands in semicolons will introduce newline characters into parameters, which is bad.

//======================================================================================================
//Setup for Build
//======================================================================================================
//Empty anything already existing and build folders where necessary.
8;OPCOS;

//Initializing the correct templates, just in case user changed config.ini.
6;Template_File_Names;M52A;M52A_Vests_xxx;
6;Template_File_Names;M52D;M52D_Vests_xxx;
6;Template_File_Names;CBU_Uniforms;Uniforms_xxx;
6;Template_File_Names;CBU_Soldiers;Soldiers_xxx;
6;Template_File_Names;3den_subcat;UNSC_3densubcat_men_xxx;

//======================================================================================================
//Cross Branch Uniforms
//======================================================================================================
//Unsorted
1;OPCOS;Strider;Strider;

//Memes
1;OPCOS;Banana;Banana? Bloody hell...;
1;OPCOS;Headpat;Headpat;
1;OPCOS;Pantycam;Pantycam;
1;OPCOS;Rattlepat;Rattlepat;
1;OPCOS;ahegaopat;Ahegaopat;

//Woodland
1;OPCOS;ATACS_TDX;ATACS_TDX;
1;OPCOS;ERDLH;ERDL-Highland;
1;OPCOS;ERDLL;ERDL-Lowland;
1;OPCOS;MARPATw;MARPAT Woodland;
1;OPCOS;MitchellPattern;Mitchell Pattern;
1;OPCOS;TigerStripe;TigerStripe;
1;OPCOS;Flecktarn;Flecktarn;
1;OPCOS;CTRG_WDL;CTRG Tropic;

//Desert
1;OPCOS;AOR1;AOR1;
1;OPCOS;ChocolateChip;ChocolateChip;
1;OPCOS;DCU;DCU;
1;OPCOS;DDPM;DDPM;
1;OPCOS;CTRG_DES;CTRG Arid;
1;OPCOS;MARPATd;MARPAT Desert;

//Multipurpose
1;OPCOS;UCP;UCP;
1;OPCOS;Erbsenmuster;Erbsenmuster;
1;OPCOS;H2ODST;Halo 2 ODST;
1;OPCOS;CTRG_URB;CTRG Urban;
1;OPCOS;Multicam;Multicam;
