1;OPCOS;ahegaopat;Ahegaopat;
1;OPCOS;Rattlepat;Rattlepat;
1;OPCOS;Red_Digital;Red Digital;
2;OPCOS;multicam;Multicam;
2;OPCOS;UCP;UCP;
2;OPCOS;DCU;DCU;
2;OPCOS;ERDLL;ERDL-Lowland;
2;OPCOS;ERDLH;ERDL-Highland;
2;OPCOS;Rattlepat;Rattlepat;
2;OPCOS;Red_Digital;Red Digital;
2;OPCOS;Erbsenmunster;Erbsenmunster;
2;OPCOS;ChocolateChip;Chocolate Chip;
3;OPCOS;UCP;UCP;
3;OPCOS;multicam;Multicam;
3;OPCOS;ERDLL;ERDL-Lowland;
3;OPCOS;ERDLH;ERDL-Highland;
3;OPCOS;Rattlepat;Rattlepat;
3;OPCOS;ChocolateChip;Chocolate Chip;
3;OPCOS;DCU;DCU;
